pronun_list,word
스매싱,smashing
스모그,smog
스미싱,smishing
스위스,Suisse
스카이다이빙,skydiving
스칸디나비아,Scandinavia
스케이트보드,skateboard
스케일링,scaling
스케치,sketch
스케치북,sketchbook
스코어,score
스코어보드,scoreboard
스코틀랜드,Scotland
스콜,squall
스?,squat
스쿼트,squat
스크랩,scrap
스크롤,scroll
스크립트,script
스타디움,stadium
스타일북,stylebook
스타카토,staccato
스타터,starter
스태프,staff
스테레오,stereo
스테로이드,steroid
스텐실,stencil
스틸,still
스파르타,Sparta
스파크,spark
스퍼트,spurt
스펀지,sponge
스페이드,spade
스포일러,spolier
스포트라이트,spotlight
스푼,spoon
스피어민트,spearmint
스피츠,spitz
스핑크스,Sphinx
슬라이드,slide
슬라이스,slice
슬립,slip
시,si
시그널,signal
시드니,Sydney
시럽,syrup
시카고,Chicago
시트,seat
시트콤,sitcom
시폰,chiffon
신,scene
실,seal
실로폰,xylophone
실루엣,silhouette
실리콘,silicon
심벌,symbol
심볼,symbol
심벌즈,cymbals
싱가포르,Singapore
싱글,single
싱크홀,sinkhole
아나콘다,anaconda
아드레날린,adrenaline
아르헨티나,Argentina
아멘,amen
아몬드,almond
아보카도,avocado
아세톤,acetone
아스파라거스,asparagus
아스팔트,asphalt
아스피린,aspirin
아웃사이더,outsider
아이덴티티,identity
아이슬란드,Iceland
아이템,item
아인슈타인,Einstein
아일랜드,Ireland
아카이브,archive
아코디언,accordion
아크릴,acrylic
아틀란티스,Atlantis
아프가니스탄,Afghanistan
악센트,accent
안테나,antenna
알레르기,Allergie
알로에,aloe
알리바이,alibi
알파카,alpaca
암모니아,ammonia
암스테르담,Amsterdam
앙고라,Angora
앙꼬,anko
앙상블,ensemble
액세스,access
앰프,amplifier
앰플리파이어,amplifier
어필,appeal
언더그라운드,underground
엑셀,accelerator
액셀러레이터,accelerator
크레용,crayon
크레인,crane
크레파스,kurepasu
크로아티아,Croatia
크리스천,Christian
크리스찬,Christian
크리스털,crystal
크리스탈,crystal
크리에이터,creator
클레임,claim
키위,kiwi
킥복싱,kickboxing
킥오프,kickoff
킬로그램,kilogram
킬로바이트,kilobyte
타깃,target
타겟,target
타르,tar
타우린,taurine
타이,Thai
타이,tie
타이머,timer
타이틀,title
타일,tile
타잔,Tarzan
타투이스트,tattooist
탄젠트,tangent
태그,tag
태클,tackle
탬버린,tambourine
탱고,tango
탱크,tank
터치,touch
터치다운,touchdown
터치라인,touchline
터치스크린,touchscreen
터키,Turkey
턴테이블,turntable
테너,tenor
테라바이트,terabyte
테라스,terrace
테스터,tester
테이핑,taping
텔레마케팅,telemarketing
텔레파시,telepathy
템포,tempo
토너,toner
토너먼트,tournament
토네이도,tornado
토스,toss
토템,totem
토핑,topping
톤,ton
톤,tone
튜닝,tuning
바게트,baguette
바리스타,barista
바리케이드,barricade
바리케이트,barricade
바비큐,barbecue
바운더리,boundary
바움쿠헨,Baumkuchen
바이블,bible
바이어,buyer
바이얼레이션,violation
바이오테크,biotech
바이오팜,biofarm
바이오팩,biopack
바이킹,Viking
바이타글라스,vitaglass
바이패스,Bypass
바지,barge
바캉스,vacance
바텐더,bartender
박스,box
발라드,ballad
발레리나,ballerina
벌크,bulk
방갈로,bungalow
배럴,barrel
배스로브,bathrobe
배지,badge
배터리,battery
백,back
백,bag
백보드,backboard
백업,backup
백패커,backpacker
백패킹,backpacking
밴,van
밴드,band
밴딩,banding
밸런스,balance
발란스,balance
밸류에이션,valuation
밸리,valley
뱀파이어,vampire
뱅커,banker
뱅크런,bankrun
뱅킹시스템,bankingsystem
버블,bubble
버스킹,busking
버클,buckle
버터,butter
버터플라이,butterfly
번들링,bundling
뉴런,neuron
뉴트리아,nutria
니스,nisu
니케,Nice
니코틴,nicotine
니퍼,nipper
님프,Nymph
겐티아나,Gentiana
다이오드,diode
다키아,Dacia
단테,Dante
더블린,Dublin
덤프리스,Dumfries
데네볼라,Denebola
데네브,Deneb
도네츠크,Donetsk
도도,dodo
도버,Dover
도베르만,Dobermann
두브로브니크,Dubrovnik
뒤셀도르프,Dusseldorf
디,D
디버그,debug
디버깅,debugging
디스토마,distoma
디오라마,diorama
라듐,radium
라디안,radian
라벤더,lavender
라벨,label
라부아지에,Lavoisier
라스푸틴,Rasputin
라운드,round
라이거,liger
라이브러리,library
라이프치히,Leipzig
라이플,rifle
라일락,lilac
라임,lime
라임,rhyme
라즈베리,raspberry
라켓,racket
라텍스,latex
라트비아,Latvia
라틴,Latin
라파엘,Raphael
라플란드,Lapland
라호르,Lahore
랩,lap
랩,rap
랩소디,rhapsody
럭비,rugby
레게,reggae
레굴루스,Regulus
레바논,Lebanon
튜바,tuba
튜브,tube
튤립,tulip
트라우마,trauma
트라이앵글,triangle
트랙,track
트랙터,tractor
트램펄린,trampolin
트럼펫,trumpet
트레이드,trade
트레이드마크,trademark
트롬본,trombone
트럼본,trombone
트리오,trio
트리트먼트,treatment
트위스트,twist
티라노사우루스,tyrannosaurus
티베트,Tibet
틱,tic
스포티,sporty
스폰서,sponsor
뉘앙스,nuance
뉴스,news
뉴트럴,neutral
니즈,needs
니트,knit
닉네임,nickname
다스,dasu
다운로딩,downloading
다운타운,downtown
다이나믹,dynamic
다이내믹,dynamic
다이버,diver
다이스,dice
다이어그램,diagram
다이어리,diary
다이어트,diet
다이얼,dial
다이얼로그,dialogue
다잉,dyeing
닥터,doctor
달러,dollar
댄서,dancer
댄스,dance
더미,dummy
더블릿,doublet
더치커피,Dutchcoffee
덤벨,dumbbell
데님,denim
데모크라시,democracy
데미지,damage
데뷔,debut
데스크,desk
데시그램,decigram
데시리터,deciliter
데시미터,decimeter
데시벨,decibel
데이터베이스,database
데이트,date
데커레이션,decoration
도넛,doughnut
도미노,domino
도슨트,docent
도어,door
도어맨,doorman
도큐먼트,document
도트,dot
돔,dome
동,dong
드라이,dry
드라이빙,driving
드래건,dragon
드래곤,dragon
드러매틱,dramatic
드러머,drummer
드레스,dress
드레스메이커,dressmaker
드로,draw
드로우,draw
드립,drip
드링크,drink
디너,dinner
디스카운트,discount
디스커션,discussion
디스코,disco
디스코텍,discotheque
디스플레이,display
베레모,beret
베스트,best
베스트,vest
베이커리,bakery
베이컨,bacon
베일,veil
베타테스트,betatest
베테랑,veteran
베트콩,Vietcong
벤더,vendor
부츠,boots
부케,bouquet
부킹,booking
부티,bootee
부티크,boutique
데미소다,Demisoda
데스페라도,Desperado
델로스,Delos
델몬트,Delmont
라우브,Lauv
라이젠,Ryzen
라코스테,Lacoste
레베카,Rebecca
레옹,Leon
렌당,Rendang
로꼬,Loco
로스트,Lost
루미큐브,Lumicube
룰루레몬,Lululemon
리디북스,Ridibooks
리조,Lizzo
마스터카드,MasterCard
마이에스큐엘,MySQL
엠와이에스큐엘,MySQL
마크툽,Maktub
맥콜,McCOL
멜로망스,Melomance
모노폴리,Monopoly
모모랜드,Momoland
뮈슬리,Muesli
미드소마,Midsommar
밀키스,Milkis
바나프레소,Banapresso
바이브,Vibe
배가본드,Vagabond
벅스,Bugs
보그,Vogue
보스,Bose
엑셀런트,Excellent
엑시노스,Exynos
엔칠라다,enchilada
엔플라잉,NFlying
엘르,Elle
엠비시,MBC
예스터데이,Yesterday
올드보이,Oldboy
요거프레소,Yogerpresso
우노,UNO
우버,Uber
울트라매니아,Ultramania
웬디,Wendy
위즐,Weezle
유니클로,Uniqlo
이매진,Imagine
이비에스,EBS
이클립스,Eclipse
이터널스,Eternals
인피니트,Infinite
있지,ITZY
젠가,Jenga
조안나,Joanna
조이,JOY
쥬씨,Juicy
챔피온,Champion
카멕스,Carmex
카스,Cass
카탄,Catan
카푸치노,cappuccino
칸쵸,Cancho
캉골,Kangol
컨버스,Converse
케이비에스,KBS
케이윌,Kwill
크러쉬,Crush
크런키,Crunky
가자니아,gazania
갈란투스,Galanthus
개더,gather
개버딘,gaberdine
개스킷,gasket
가스켓,gasket
거버너,governor
거베라,gerbera
거터,gutter
거피,guppy
구피,guppy
게네랄파우제,Generalpause
게네랄프로베,Generalprobe
게놈,Genom
게르니카,Guernica
게마인샤프트,Gemeinschaft
게슈타포,Gestapo
게슈탈트,Gestalt
게젤샤프트,Gesellschaft
그라인더,grinder
노이로제,Neurose
노이즈,noise
노즐,nozzle
녹다운,knockdown
넉다운,knockdown
북마크,bookmark
북엔드,bookend
붐,boom
뷰티,beauty
브나로드,Vnarod
브델륨,bdellium
브라보,bravo
브라운,brown
브래지어,brassiere
브랜디,brandy
블로커스,Blokus
비비큐,BBQ
비와이,Bewhy
비투비,BTOB
빅스비,Bixby
세포라,Sephora
슈웹스,Schweppes
슈퍼비,Superbee
슈하스코,Shuhasko
스냅드래곤,Snapdragon
스크래블,Scrabble
시리,Siri
시아,Sia
씨그램,Seagrams
아고다,Agoda
아마겟돈,Armageddon
아메리카노,Americano
아멜리에,Amelie
아이린,Irene
아이콘,iKON
아티제,artisee
애니팡,Anipang
어도비,Adobe
언더월드,Underworld
에미넴,Eminem
에스비에스,SBS
에스엔엘,SNL
에스엠,SM
에스프레소,Espresso
에어비앤비,Airbnb
에이프릴,April
크리스토퍼,Christopher
키세스,kisses
킹덤,Kingdom
킹스맨,Kingsman
테이큰,Taken
투게더,together
트랙패드,Trackpad
트레비,Trevi
트로피카나,Tropicana
티비엔,TVN
파에야,Paella
파이썬,Python
팩맨,Pacman
페이팔,PayPal
포카칩,Pockachip
퐁뒤,Fondue
플로,FLO
피죤,pigeon
피전,pigeon
하얏트,Hyatt
한니발,Hannibal
헐크,Hulk
헤이즈,Heize
헨리,Henry
호가든,Hoegaarden
가먼트,garment
가믈란,gamelan
가볼러지,garbology
가비지,garbage
가스테리아,gasteria
가우르,gaur
가이아나,Guyana
브랜치,branch
브러싱,brushing
브레이드,braid
브레이크,break
브레이크다운,BreakDown
브레이크댄싱,breakdancing
브레인,brain
브레인스토밍,brainstorming
브레제,braiser
브렉시트,brexit
브렉퍼스트,breakfast
브로드밴드,broadband
브로슈어,brochure
브로일러,broiler
브로치,broach
브로케이드,brocade
브론즈,bronze
브루넷,brunette
브리간틴,brigantine
브리더,breather
브리스틀,bristol
브리치스,breeches
브리치즈,breeches
브리튼,Britain
브리프,briefs
브림,brim
브이디피,VDP
브이로그,vlog
브이벨트,Vbelt
브이블록,Vblock
브이씨알,VCR
브이시알,VCR
브이티알,VTR
어드바이스,advice
블라스트,blast
블라우스,blouse
블라인드,blind
블랑망제,blancmanger
블랙,black
블랙리스트,blacklist
블랙시,BlackSea
블랭크,blank
블랭킹,blanking
블랭킹타임,BlankingTime
블러드뱅크,bloodbank
블레이드,Blade
블레이저,blazer
블레이저코트,blazercoat
어드벤처,adventure
블로,blow
블로램프,blowlamp
블로잉,blowing
블록,bloc
블록체크,blockcheck
블록버스터,blockbuster
블론드,blond
블루,blue
블루머,bloomer
블루투스,bluetooth
그래비티,Gravity
그랜저,Grandeur
그린카,Greencar
기프티콘,gifticon
깃허브,GitHub
나플라,Nafla
네오위즈,Neowiz
네오플,Neople
네이버페이,NaverPay
니베아,Nivea
던힐,Dunhill
데오도란트,Deodorant
데프콘,Defconn
도루코,Dorko
드레이크,Drake
디스인챈트,Disenchantment
딜로마켓,Dlomarket
라거,lager
라라스윗,Lalasweet
라붐,LABOUM
라이키,LIKEY
라인,Line
라쿠텐,Rakuten
람보르기니,Lamborghini
래치드,Ratched
랜드로버,Landrover
러버,Lover
어닝,awning
레노버,Lenovo
레이시티,Raycity
레종,Raison
건담,Gundam
로즈하,Roseha
리복,Reebok
리아나,Rihanna
린다,LINDA
마비노기,Mabinogi
마세라티,Maserati
마이크로닷,Microdot
말레피센트,Maleficent
말보로,Marlboro
매니악,Maniac
비거,vigour
클래스,class
클랙슨,klaxon
클렌징,cleansing
클리너,cleaner
클리닉,clinic
키덜트,kidult
키스,kiss
킹카,kingcard
타로,tarot
타르트,tarte
타바스코,Tabasco
타워,tower
타워크레인,towercrane
타월,towel
타이밍,timing
타이어,tire
타이츠,tights
타이핑,typing
타입,type
타코,taco
타탄체크,tartancheck
타피오카,tapioca
태그시스템,tagsystem
택시,taxi
택시미터,taximeter
탤런트,talent
터틀넥,turtleneck
턱시도,tuxedo
텀블러,tumbler
테러리스트,terrorist
테스크,task
태스크,task
테스트,test
테이블,table
테이크아웃,takeout
테이프,tape
테크놀로지,technology
테크닉,technic
테킬라,tequila
텍스처,texture
텐트,tent
텔레뱅킹,telebanking
텔레비전,television
토스트,toast
토익,TOEIC
토퍼,topper
토플,TOEFL
토픽,topic
톨게이트,tollgate
톱,top
탑,top
투어,tour
툴바,toolbar
튜토리얼,tutorial
트래픽,traffic
트랜스젠더,transgender
트러블,trouble
트레이너,trainer
레지던트,resident
레지스탕스,resistance
레지스터,register
레트리버,retriever
리트리버,retriever
렌즈,lens
로댕,Rodin
로망,roman
로맨스,romance
로밍,roaming
로즈메리,rosemary
로즈마리,rosemary
메가톤,megaton
메달리스트,medalist
메두사,Medusa
메들리,medley
메르헨,Marchen
메리트,merit
메소포타미아,Mesopotamia
메스,mes
메시아,Messiah
메이저,major
메이지,Meiji
메타세쿼이아,metasequoia
메탄,methane
메탄올,methanol
메트로놈,metronome
메트로폴리스,metropolis
멘토,Mentor
멜라닌,melanin
멜라민,melamine
멜라토닌,melatonin
멜로드라마,melodrama
멜로디언,melodion
멜론,melon
멜버른,Melbourne
모나코,Monaco
모노그램,monogram
모노드라마,monodrama
모노레일,monorail
모노톤,monotone
모니터링,monitoring
모더니즘,modernism
모듈,module
모드,mode
모르핀,morphine
모빌,mobile
모바일,mobile
모스크바,Moskva
모터,motor
모터보트,motorboat
몬트리올,Montreal
몰디브,Maldives
몰딩,molding
몰티즈,Maltese
몽골,Mongolia
몽타주,montage
미,mi
미네랄,mineral
미니멀리즘,minimalism
미사,missa
미션,mission
민트,mint
밀리그램,milligram
바,bar
바니시,varnish
바니쉬,varnish
바닐라,vanilla
바르셀로나,Barcelona
바셀린,vaseline
바이너리,binary
바이브레이션,vibration
바이엘,Beyer
바이오리듬,biorhythm
바이올리니스트,violinist
바이트,byte
바질,basil
방글라데시,Bangladesh
배트,bat
백신,vaccine
밴쿠버,Vancouver
밸브,valve
버그,bug
버너,burner
버저,buzzer
버전,version
벙커,bunker
베네치아,Venezia
베르사유,Versailles
베를린,Berlin
브라만,Brahman
브라키오사우루스,brachisaurus
비브리오,vibrio
비숍,bishop
비엔나,Vienna
비올라,viola
비잔티움,Byzantium
비즈마크,Bismarck
비커,beaker
비트,beat
비트,beet
비트,bit
비트맵,bitmap
비트박스,beatbox
맥라렌,McLaren
메가마인드,Megamind
메멘토,Memento
모아나,Moana
몽블랑,montblanc
미디어텍,MediaTek
미스트,Mist
밀카,Milka
바이트댄스,ByteDance
박카스,Bacchus
반스,Vans
벤큐,BenQ
부가티,Bugatti
브로드컴,Broadcom
빅스,VIXX
사우어크라우트,Sauerkraut
샤이니,SHINee
에듀윌,eduwill
소프트뱅크,Softbank
솔라,Solar
쉐보레,Chevrolet
슈퍼콘,SuperCone
스냅챗,Snapchat
스윙스,Swings
스카이림,Skyrim
스카이스캐너,Skyscanner
스카이프,Skype
스크림,Scream
스키니피그,SkinnyPig
스타일러,Styler
스포티파이,Spotify
시리얼,cereal
쏘나타,Sonata
쏘카,Socar
씨스타,SISTAR
씨엔블루,CNBLUE
아반떼,Avante
아수스,ASUS
아스트로,ASTRO
아식스,Asics
아우터,Outer
아이리스,Iris
빅토리아,Victoria
빈,Wien
빔,beam
빙고,bingo
사라예보,Sarajevo
사모아,Samoa
사모예드,Samoyed
사무라이,samurai
사바나,savanna
사브르,sabre
사우디아라비아,SaudiArabia
사우스포,southpaw
사운드트랙,soundtrack
사이공,Saigon
사이렌,siren
사이클,cycle
사이클로이드,cycloid
사이클론,cyclone
사이프러스,Cyprus
사인,sine
사카린,saccharin
사탄,Satan
사파이어,sapphire
사할린,Sakhalin
산스크리트,Sanskrit
살사,salsa
삼바,samba
삼보,sambo
상트페테르부르크,SanktPeterburg
